Chinese Name,Pinyin Name,Category,Element 1,Element 2,Element 3,Element 4
荣华富贵,ronghuafugui,E,Hibiscus,Peony,,
三阳开泰,sanyangkaitai,E,Goat,,,
大吉大利,dajidali,E,Tangerine,Lychee,,
十全富贵,shiquanfugui,E,Peony,,,
双余,shuangyu,E,Fish,,,
一本万利,yibenwanli,E,Lychee,,,
一路富贵,yilufugui,E,Egret,Peony,,
一路荣华,yiluronghua,E,Egret,Hibiscus,,
渔利图,yulitu,E,Fisherman,Li Carp,,
渔翁得利,yuwengdeli,E,Getting,Li Carp,,
玉堂富贵,yutangfugui,E,Magnolia,chinese flowering crab-apple,Peony,
玉堂贵寿,yutangguishou,E,Magnolia,Peach,Peony,
玉堂锦绣,yutangjinxiu,E,Long-tailed Pheasant,Magnolia,,
一路荣华到白头,yiluronghuadaobaitou,E,Hibiscus,Egret,Chinese Bulbul,
一品富贵,yipinfugui,E,Crane,Peony,,
白头高节,baitougaojie,F,Bamboo,Chinese Bulbul,,
白头三友,baitousanyou,F,Bamboo,Pine Tree,Prunus,Chinese Bulbul
佛手禅心,foshouchanxin,F,Buddha's Hands,Cicada,,
高风亮节,gaofengliangjie,F,Bamboo,,,
九思图,jiusitu,F,Egret,,,
老少清白,laoshaoqingbai,F,Amaranth,Chinese Greens,,
廉直,lianzhi,F,Lotus Stem,,,
伶俐不如痴,lingliburuchi,F,Water Caltrop,Lychee,Fungus,
清白,qingbai,F,Chinese Greens,,,
清白传家,qingbaichuanjia,F,Chinese Greens,,,
清白廉洁,qingbailianjie,F,Fish,,,
清平福来,qingpingfulai,F,Vase,Bat,,
三纲五常,sangangwuchang,F,Vat,Tasting,,
三思图,sansitu,F,Egret,,,
三余,sanyu,F,Fish,,,
事事清白,shishiqingbai,F,Persimmon,Chinese Greens,,
事事清吉,shishiqingji,F,Persimmon,Tangerine,,
为善最乐,weishanzuile,F,Fan,,,
学仙学佛,xuexianxuefo,F,Narcissus,Buddha's Hands,,
雅士图,yashitu,F,Crow,Persimmon,,
一路清廉,yiluqinglian,F,Egret,Lotus,,
一品清廉,yipinqinglian,F,Lotus,,,
英雄独立,yingxiongduli,F,Eagle,,,
再思,zaisi,F,Egret,,,
三多九如,sanduojiuru,F,Buddha's Hands,Pomegranate,Sceptre,
安和图,anhetu,G,Quail,Cereal Plant,,
安居（图）,anjutu,G,Quail,Chrysanthemum,,
安居乐业,anjuleye,G,Quail,Chrysanthemum,Leaves,
安喜图,anxitu,G,Quail,Magpie,,
富贵和平,fuguiheping,G,Peony,Pigeon,,
富贵平安,fuguipingan,G,Peony,pingan,,
富贵太平,fuguitaiping,G,Peony,Vase,,
和合如意,heheruyi,G,Lotus,Box,Sceptre,
和合万年,hehewannian,G,Chinese Lily,Rohdea Japonica,,
和平之声,hepingzhisheng,G,Pigeon,Firecracker,,
和谐,hexie,G,Lotus,Crab,,
河清海晏,heqinghaiyan,G,Lotus,Swallow,,
吉庆平安,jiqingpingan,G,Halbard,Stone Musical Triangle,Vase,
九如,jiuru,G,Fish,,,
久安,jiuan,G,Quail,,,
久安长治,jiuanchangzhi,G,Long-tailed Pheasant,Quail,,
六合同春,liuhetongchun,G,Deer,Crane,,
马上平安,mashangpingan,G,Riding,Horse,,
平安多利,pinganduoli,G,Apple,Quail,Lychee,
平安富贵,pinganfugui,G,Apple,Peony,,
平安如意,pinganruyi,G,Vase,Sceptre,,
平安五福自天来,pinganwufuzitianlai,G,Boy,Bat,,
平平安安,pingpinganan,G,Apple,,,
清平福来,qingpingfulai,G,Vase,Bat,,
清平富贵,qingpingfugui,G,Vase,Peony,,
扫象,saoxiang,G,Sweeping,Elephant,,
十全,shiquan,G,Coin,,,
世世和平,shishiheping,G,Persimmon,Lotus,Vase,
事事安顺,shishianshun,G,Persimmon,Quail,,
双安,shuangan,G,Quail,,,
四海升平,sihaishengping,G,Vase,Bat,,
四季平安,sijipingan,G,Monthly Rose,Vase,,
岁岁平安,suisuipingan,G,Vase,Firecracker,,
太平吉利,taipingjili,G,Apple,Tangerine,Lychee,
太平青吉,taipingqingji,G,Apple,Tangerine,,
太平有象,taipingyouxiang,G,Vase,Elephant,On Top,
天子万年,tianziwannian,G,Heavenly Bamboo,Rohdea Japonica,,
五福和合,wufuhehe,G,Bat,Box,,
一统万年,yitongwannian,G,Barrel,Rohdea Japonica,,
一团和气,yituanheqi,G,Immortals,,,
玉堂和平,yutangheping,G,Magnolia,chinese flowering crab-apple,Vase,
玉堂仙品,yutangxianpin,G,Narcissus,Magnolia,,
诸事大吉,zhushidaji,G,Pig,Persimmon,,
竹报平安（祝报平安）,zhubaopingan,G,Quail,Bamboo,,
竹报双安（祝报双安）,zhubaoshuangan,G,Quail,Bamboo,,
子孙和合,zisunhehe,G,Boy,Lotus,,
九世安居,jiushianju,G,Quail,Chrysanthemum,,
