"id";"image";"theme";"design";"punning";"cf";"cf_url";"memo"
"349";"a9338.jpg";"官居一品";"鸡冠花 + 菊花";"cockscomb+chrysanthemum-1";"Rudova, Maria (V. Sobolev trans.). Chinese Popular Prints，Leningrad: Aurora Art Publishers, 1988, pl. 55 34.5x56cm";;"Meng 1991:156; see Paintings by Qi Baishi 1990；Wilson61S275 蝈蝈牡丹282 Meng 1991:156 see Paintings by Qi Baishi 1990"
"350";"guanshangjiag.jpg";"官上加官";"鸡冠花 + 鸡";"cockscomb+chicken-2+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"351";"a3997.jpg";"官上加官";"鸡冠花 + 鸡";"cockscomb+chicken-2+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"352";"a4907.jpg";"官上加官";"鸡冠花 + 鸡";"cockscomb+chicken-2+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"353";"a7359.jpg";"官上加官";"鸡冠花 + 鸡";"cockscomb+chicken-2+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"354";"a5099.jpg";"官上加官";"鸡冠花 + 鸡";"cockscomb+chicken-2+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"355";"guashangjiagua-1.jpg";"官上加官";"鸡";"chicken-2+jiaguan";;;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"356";"no-image.png";"官上加官";"蝈蝈 + 蝈蝈";"cricket+cricket+jiaguan";;;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"357";"a5374.jpg";"官上加官";"蝈蝈 + 鸡冠花";"cricket+cockscomb+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"358";"a5373.jpg";"官上加官";"蝈蝈 + 鸡冠花";"cricket+cockscomb+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"359";"no-image.png";"官上加官";"蝈蝈 + 鸡";"cricket+chicken-2+jiaguan";;;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"360";"a9205.jpg";"官上加官";"蝈蝈 + 瓜";"cricket+melon-1+jiaguan";"主编郎绍君, 郭天民 齐白石全集 长沙市: 湖南美术出版社, 1996，Vol. 1, pl. 135 立轴 纸本 水墨 86 x 54cm ca.1915 辽宁省博物馆藏";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"361";"a5433.jpg";"官上加官";"蝈蝈 + 罐子";"cricket+urn+jiaguan";"-";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"362";"a9082.jpg";"官上加官";"蝈蝈 + 罐子";"cricket+urn+jiaguan";"Palace Museum ed. Masterpieces of Snuff Bottles in the Palace Museum, Beijing: Forbidden City Publishing House, 1995, p. 184, pl. 167, 'Porcelain snuff bottle with famille rose design of grasshopper Daoguang (1821-1850) H 7.5 W 4.8 cm 粉彩蝈蝈图鼻烟壶 清道光'";;"十八世纪黄釉浮雕桌屏, 英国大卫德基金会539号藏品; 齐白石水墨画载于佳士得1994年6月拍卖目录 ; 道光瓷粉彩鼻烟壶, 载 Hui & Sin 1995:21 Source: 18th century table screen with relief decoration under yellow enamel overglaze, PDF 539 in Scitt 1997:68; ink painting by Qi Bai Shi from Christie’s catalogue June 9, 1994, South Kensington; Daoguang enameled porcelain snuff bottle, Hui & Sin 1995:21; ink painting by Qi Baishi in Yan & Jin eds. 1990 (参见’加官’条)"
"363";"no-image.png";"贵子有余";"桂花 + 鱼";"osmanthus+fish";;;"Liu & Wang 1991:105"
"364";"a5313.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"365";"a7587.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"366";"a2950.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"367";"a4175.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"368";"a4887.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"369";"a4977.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"370";"a5094.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"371";"a6756.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"-";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"372";"a7728.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"Palace Museum ed. Masterpieces of Snuff Bottles in the Palace Museum, Beijing: Forbidden City Publishing House, 1995, p. 60, pl. 26, '海屋添筹图 H 6.6 W 3.3cm'";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"373";"a9074.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"‘筹’作为换面元素此处被省略 Among the two basic visual elements of the design, ‘chip’ has been omitted in this case";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
"374";"a9073.jpg";"海屋添寿";"筹 + 海屋";"chip+haiwu";"‘筹’作为换面元素此处被省略 Among the two basic visual elements of the design, ‘chip’ has been omitted in this case";;"Meng 1991:160; Qing glass snuff bottle, plate 3, p. x in White 1992; 18th - 19th century carved glass snuff bottle No. 47 in Hall 1992. Kerr, Rose ed. Chinese Art and Design 1991:plate 48, p. 122 ‘The scene shows pavilions on the Islands of the Immortals, a magic paradise land in the Eastern Sea. Two cranes fly out of the clouds and these birds together with the evergreen pine trees growing on the island traditionally bear wishes for a long life, something to which all Chinese aspired and which also had implications for the continuation of the family line.’ 耿宝昌2000中/221万历碗; Bower, Virginia, Josephine Hadley Knapp, Stephen Little, Robert Wilson Torchia, The Collections of the National Gallery of Art Systematic Catalogue: Decorative Arts, Part II - Far Eastern Ceramics and Paintings; National Gallery of Art, Washington 1998, p.227; 嘉德十年; Little Realm of the Immortals; Daoism in the Arts of China, Cleveland: Cleveland Museum of Art, 1988, no. 18 ；Lot 372, Fine Classical Chinese Paintings and Calligraphy, Christie’s, Hong Kong, 31st Oct. 2004; Dish with Isle of the Immortals, Realm of the Immortals: The Cleveland Museum of Art, Daoism in the arts of China / by Stephen Little. Bloomington: Indiana University Press, 1988, p. 45, pl. 18 ‘At the center of this dish is a roundel depicting a Daoist paradise, surrounded by clouds and rolling waves. In the foreground, three male deities are shown crossing the waves on a cloud. The cranes flying in the air also symbolize longevity. The symbolism of the dish expresses the wish for good fortune and longevity, and it is possible this and similar dishes were designed for an imperial birthday.’ 汪184 S75 剧本 汪98/32 世界陶磁 全集12图65雍正 老人举棍 Butler照片 故宫釉里红中221万历 Stamen Kangxi dish"
